iter	Passed	Remaining
0	1760	878735
1	3461	861942
2	4894	810842
3	6182	766593
4	7746	766897
5	9213	758588
6	10607	747078
7	12061	741782
8	13445	733527
9	14877	729010
10	16411	729575
11	19124	777728
12	21748	814726
13	23684	822193
14	25064	810404
15	26410	798919
16	27832	790763
17	29183	781460
18	30392	769416
19	31672	760134
20	33201	757306
21	34660	753086
22	36181	750366
23	37518	744117
24	38740	736064
25	39903	727464
26	41167	721185
27	42380	714407
28	43628	708581
29	45042	705667
30	46443	702645
31	47798	699047
32	49092	694735
33	50312	689577
34	51675	686542
35	53014	683301
36	54588	683089
37	56130	682430
38	57508	679782
39	58681	674837
40	60069	672487
41	61255	667981
42	62477	664004
43	63834	661560
44	65532	662604
45	67173	662971
46	68750	662637
47	70131	660403
48	71325	656482
49	72576	653185
50	73895	650570
51	75210	647968
52	76748	647293
53	78022	644409
54	79270	641370
55	80517	638386
56	81722	635141
57	83572	636880
58	85186	636730
59	86466	634088
60	87998	633303
61	89367	631335
62	90540	628034
63	91741	624990
64	92933	621942
65	94142	619056
66	95423	616694
67	96697	614311
68	97992	612097
69	99367	610398
70	100638	608084
71	102071	606760
72	103297	604217
73	104547	601857
74	105740	599194
75	106922	596516
76	108174	594257
77	109478	592306
78	110654	589689
79	111849	587211
80	113095	585027
81	114357	582942
82	116072	583157
83	117403	581428
84	118878	580405
85	120448	579833
86	122337	580751
87	123799	579606
88	125295	578613
89	126514	576343
90	127629	573631
91	128972	571962
92	130248	570012
93	131551	568192
94	132936	566728
95	134571	566319
96	135982	564956
97	137251	563011
98	138459	560830
99	139927	559709
100	141224	557906
101	142936	557732
102	144276	556096
103	145555	554230
104	146880	552548
105	148409	551636
106	149669	549720
107	150918	547779
108	152483	546982
109	153831	545404
110	155191	543870
111	156539	542297
112	157763	540303
113	158864	537910
114	160679	537925
115	162383	537544
116	164036	536973
117	165437	535568
118	166740	533850
119	167846	531514
120	169337	530403
121	170624	528655
122	171932	526980
123	173506	526115
124	175075	525226
125	176938	525199
126	178534	524358
127	180348	524136
128	181810	522882
129	183452	522133
130	184947	520960
131	186235	519200
132	187282	516786
133	189276	516977
134	190789	515838
135	191921	513673
136	193109	511668
137	193865	508545
138	194858	506071
139	196025	504065
140	197222	502148
141	198418	500237
142	199619	498350
143	202711	501148
144	204087	499663
145	205378	497973
146	206658	496261
147	207881	494420
148	209086	492545
149	210383	490895
150	211496	488822
151	212623	486795
152	213829	484959
153	215347	483832
154	216532	481960
155	217771	480214
156	219087	478643
157	221539	479535
158	222818	477868
159	224525	477116
160	225827	475500
161	227114	473856
162	229067	473593
163	230336	471909
164	231733	470489
165	232980	468767
166	234182	466962
167	235424	465243
168	236666	463529
169	238004	462008
170	239471	460736
171	240911	459413
172	242385	458149
173	243723	456632
174	244932	454874
175	246195	453222
176	247404	451478
177	248468	449476
178	249656	447707
179	251098	446396
180	252415	444864
181	253664	443216
182	255015	441748
183	256290	440150
184	257604	438623
185	259093	437394
186	260176	435481
187	261459	433911
188	262669	432223
189	263872	430529
190	265227	429085
191	266478	427475
192	267731	425873
193	269065	424401
194	270283	422751
195	271574	421217
196	272774	419546
197	273932	417815
198	275100	416106
199	276270	414405
200	277502	412801
201	278893	411437
202	280132	409848
203	281297	408157
204	282517	406549
205	283770	404992
206	284966	403357
207	286514	402222
208	287958	400937
209	289789	400185
210	291955	399882
211	293667	398944
212	295238	397809
213	296573	396354
214	298493	395677
215	299767	394138
216	301214	392828
217	302604	391441
218	303804	389813
219	305123	388338
220	306248	386621
221	307536	385112
222	308766	383534
223	309956	381910
224	311517	380743
225	312755	379181
226	313989	377616
227	315166	375988
228	316379	374405
229	317615	372852
230	318841	371291
231	320071	369737
232	321311	368197
233	322610	366728
234	323893	365241
235	325888	364552
236	328111	364106
237	329448	362669
238	332009	362570
239	334264	362119
240	335514	360573
241	337057	359342
242	338521	358024
243	341017	357789
244	343215	357223
245	345391	356624
246	347040	355470
247	348261	353878
248	349402	352209
249	350646	350646
250	351848	349045
251	352988	347385
252	354232	345832
253	355694	344491
254	356985	342986
255	358253	341459
256	359469	339887
257	360742	338370
258	361914	336761
259	362979	335057
260	364205	333505
261	365697	332198
262	366798	330537
263	367919	328897
264	369162	327370
265	370302	325755
266	371631	324307
267	372716	322649
268	373937	321113
269	375124	319550
270	376387	318054
271	377608	316524
272	379071	315198
273	380424	313780
274	382024	312565
275	383285	311072
276	384590	309615
277	385841	308117
278	387029	306571
279	388305	305097
280	389448	303520
281	390562	301923
282	391693	300344
283	392854	298790
284	394004	297231
285	395054	295600
286	396249	294080
287	397356	292498
288	398506	290951
289	399665	289412
290	400781	287846
291	401920	286299
292	403121	284799
293	404188	283206
294	405367	281695
295	406600	280224
296	407857	278771
297	409090	277302
298	410271	275801
299	411315	274210
300	412496	272713
301	413721	271247
302	414831	269709
303	416029	268229
